bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_promoted,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Photography","/explore/photography","/projects/palm-beach-photo-studio","2015-12-01T23:59:59-08:00","USD","382","0.0764","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xmfn3qb7pvorrsds4k8s.jpg","false","false","false","false","null","2015-11-01T10:53:06-08:00","null","null","null","null","null","1505207","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","We are a modern fully equipped rental photo studio  located in the heart of West Palm Beach, Florida","[""social innovations""]","Palm Beach Photo Studio"
"null","Photography","/explore/photography","/projects/aspects-of-beauty-a-photo-series","2015-12-26T23:59:59-08:00","USD","40","0.02","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ytlahaptsesaenqer2hf.jpg","false","false","false","false","null","2015-11-26T04:15:25-08:00","null","null","null","null","null","1508673","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","""Real photos of real women in real clothes.""","[""social innovations"",""beauty""]","ASPECTS OF BEAUTY - a photo series"
"null","Photography","/explore/photography","/projects/avila-beach-photo-calendar-2016","2015-11-29T23:59:59-08:00","USD","3058","0.679555555556","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rlrzpyoxdk4c5xiowppz.jpg","false","false","false","false","null","2015-11-05T11:22:15-08:00","null","null","null","null","null","1490335","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Support our website and get an awesome calendar filled with beautiful Avila Beach photos!","[""community""]","Avila Beach Photo Calendar 2016"
"null","Photography","/explore/photography","/projects/matt-round-photo-studio","2018-02-14T23:59:59-08:00","GBP","2021","0.336833333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/g7juxtyst7lj7rx2vpb7.jpg","false","false","false","false","null","2018-01-15T00:03:49-08:00","null","null","null","null","null","2317389","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Help me to raise the capital needed to get my studio space up and running!","[""other""]","Matt Round Photo Studio"
"null","Photography","/explore/photography","/projects/journey-with-justin-to-the-louvre","2018-10-26T23:59:59-07:00","CAD","5945","0.660555555556","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pxxckjh1il3pjbdtk6to.jpg","false","false","false","false","null","2018-08-27T00:00:00-07:00","null","null","null","null","null","2385520","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","#HamOntGoesToParis","[""community"",""festival"",""design""]","Journey with Justin to the Louvre"
"null","Photography","/explore/photography","/projects/change-makers--2","2018-02-26T23:59:59-08:00","USD","175","0.011666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/aeckxxbi68zyc9g5vsli.jpg","false","false","false","false","null","2017-12-28T17:38:27-08:00","null","null","null","null","null","2288408","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Change Makers is a portrait and story project spotlighting women revolutionizing change.","[""female founders"",""social innovations""]","Change Makers"
"null","Photography","/explore/photography","/projects/documenting-the-life","2017-01-25T23:59:59-08:00","USD","1978","0.659333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sptwsbq2p6futhca3ruj.jpg","false","false","false","false","null","2016-12-30T19:54:41-08:00","null","null","null","null","null","1997338","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Two years since my photo equipment has been stolen. Support me to continue making photographs.","[""documentary""]","Documenting the life."
"null","Photography","/explore/photography","/projects/you-got-red-on-you-2020","2019-10-05T23:59:59-07:00","USD","162","0.081","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sbr1imj2be8wshwlennt.jpg","false","false","false","false","null","2019-08-06T00:00:00-07:00","null","null","null","null","null","2534047","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A calendar for horror fans by horror fans","[""horror""]","You Got Red On You 2020"
"null","Photography","/explore/photography","/projects/the-gift-of-photography--2","2021-10-01T23:59:59-07:00","USD","2420","0.242","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jdmgufiejvd9nkrkqef1.jpg","false","false","false","false","null","2021-08-17T00:00:00-07:00","null","null","null","null","null","2698021","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","This campaign was started so others can receive the gift that photography brings into our lives.","[""professional"",""community"",""family""]","The Gift of Photography"
"null","Photography","/explore/photography","/projects/olisipografia-photographic-exhibition","2017-10-26T23:59:59-07:00","EUR","1810","0.517142857143","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hsghro9gjdwgslgnbkgn.jpg","false","false","false","false","null","2017-08-27T13:33:33-07:00","null","null","null","null","null","2139321","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","The concept of Lisbon through the still life photography","[""other""]","Olisipografía: Photographic exhibition"
